Record Count,Loaded to Repository,Year,Management Group,Total Biomass (mt),Eastern Biomass (mt),Eastern Fraction,Western Biomass (mt),Western Fraction
1,2021-09-29 10:30:18,2017,OROXT4,12739.3,12382.4,0.971984331949165,356.9,0.028015668050835
1,2021-09-29 10:30:18,2019,OROXM005,28758.5,23577,0.819827181528939,5181.5,0.180172818471061
1,2021-09-29 10:30:18,2019,OROXM006,4199.9,3052.3,0.72675539893807,1147.6,0.27324460106193
1,2021-09-29 10:30:18,2019,OROXM007,3511.5,2964.2,0.844140680620817,547.3,0.155859319379183
1,2021-09-29 10:30:18,2019,OROXM0092,552.2,209.5,0.379391524809852,342.7,0.620608475190148
1,2021-09-29 10:30:18,2019,OROXM01,11689.9,10058,0.860400858861068,1631.9,0.139599141138932
1,2021-09-29 10:30:18,2019,OROXT4,8540.6,5669.8,0.663864365501253,2870.8,0.336135634498747
1,2021-09-29 10:30:18,2021,OROXM005,44008.5,42528.1,0.966361043889249,1480.4,0.033638956110751
1,2021-09-29 10:30:18,2021,OROXM006,7358.5,7075.3,0.961513895495006,283.2,0.038486104504994
1,2021-09-29 10:30:18,2021,OROXM007,1774.3,1381.4,0.778560559093727,392.9,0.221439440906273
1,2021-09-29 10:30:18,2021,OROXM0092,122.9,72.7,0.591537835638731,50.2,0.408462164361269
1,2021-09-29 10:30:18,2021,OROXM01,2423.2,2346.5,0.968347639484979,76.7,0.031652360515021
1,2021-09-29 10:30:18,2021,OROXT4,7726.1,6332.1,0.819572617491361,1394,0.18042738250864
